	input
1602	Ibi ubuyobozi bw’ akarere ka Ruhango bwabitangarije mu kiganiro aka karere gaherutse kugirana n’ abanyamakuru.
1603	Ni mu gihe kandi hari ibimenyetso byinshi bica amarenga ko Ingabire Victoire ashobora gusubira muri gereza kubera ibyaha bikomeye arimo gukurikiranwaho.
1604	Perezida w’ u Rwanda Paul Kagame yaburiye abantu bihisha inyuma ya politiki, demukarasi n’ ubwisanzure bagahungabanya umutekano, avuga ko u Rwanda ruzabashyira aho bakwiriye kuba.
1605	Ikigo cy’ ikigihugu cy’ itangazamakuru Rwanda Broadcasting Agency cyatangaje ko kuri uyu wa 31 Ukuboza 2019 kiragirana ikiganiro cyihariye na Perezida w’ u Rwanda Paul Kagame.
1606	Mukantabana yayoboraga iyi Komisiyo kuva muri 2017, umwanya yagiyeho avuye kuba Minisitiri muri Minisiteri ishinzwe kurwanya ibiza no gucyura impunzi MIDIMAR.
1607	Perezida wa Repubulika Paul Kagame yasabye abagore kongera umuvuduko w’ubwiyongere mu myanya ifata ibyemezo kugira ngo bazavemo umusimbura ku mwanya w’Ubuyobozi bw’Igihugu.
1608	Ni mu gihe abarimu n’ inzobere mu burezi badasiba kugaragaza ko ubucukike mu mashuri ari kimwe mu bisubiza hasi ireme ry’ uburezi mu Rwanda.
1609	Ni mu gihe ku wa Gatanu tariki 14 Ukuboza 2019, I Kampala habereye inama ya kabiri y’ iyi komisiyo ariko ikaba nta mwanzuro yagezeho nk’ uko bitangazwa na Amb.
1610	Umunyamabanga wa Leta muri Minisiteri y’Ububanyi n’amahanga ushinzwe umuryango wa Afurika y’Iburasirazuba, Olivier Nduhungirehe, ko ibyo biganiro bibera ahitwa Speke Resort Munyonyo.
1611	Iyi nama yari igamije gushaka icyakorwa ngo imbereho n’ iterambere ry’ umuturage birusheho gutera imbere.
1612	Yabitangaje kuri uyu wa 9 Ukuboza 2019 ubwo yatangizaga ku mugaragaro umuhango wo gutanga ibihembo mpuzamahanga byo kurwanya ruswa wahujwe n’ umunsi mpuzamahanga wo kurwanya ruswa.
1613	Yabaye Minisitiri w’ imari n’ igenamigambi w’ u Rwanda kuva mu 1997 kugera muri 2005.
1614	Ni Amasezerano y’imyaka itatu agamije kumenyekanisha ubukerarugendo bw’u Rwanda ndetse cyane cyane kwerekana ibikorerwa mu Rwanda.
1615	Perezida w’ inama y’ igihugu y’ abafite ubumuga Niyomugabo Romalis yabitangarije mu karere ka Nyamagabe kuri uyu wa 03 Ukuboza 2019, ahizihirijwe umunsi mpuzamahanga w’ abafite ubumuga.
1616	HAVUGIYAREMYE Aimable yagizwe umushinjacyaha mukuru asimbuye Jean Bosco Mutangana wari umaze imyaka 3 agiye kuri uyu mwanya.
1617	Minisiteri y’ Urubyiruko n’ Umuco yasabye urubyiruko kurwangwa n’ umuco w’ ubupfura rwirinda ruswa kandi rukanagira inzozi nziza.
1618	Ngo hari ibyo abantu bagikeneye gushyiramo imbaraga birimo no guhindura imyumvire.
1619	Ubu butumwa yabutangiye I Gako mu ishuri rya Gisirikare riri mu karere ka Bugesera kuri uyu 16 Ugushyingo 2019 , ubwo yahaga abofisiye barenga 300 ipeti rya sous Lieutenant.
1620	Hategekimana Athanase wo mu kagari ka Rukoko avuga ko mubyo bakeneye harimo imipaka mishya ibahuza na Congo n’uburyo byo kujyana umusaruro ku masoko.
1621	Nk’ ibisanzwe uyu muhango urabera mu Nteko ishinga amategeko.
1622	Komisiyo y’Igihugu y’Amatora yatangaje ko Karemera Emmanuel ari we mudepite usimbuye Nyakwigendera Depite Ndahiro Logan witabye Imana.
1623	Minisitiri w’ Intebe w’ u Rwanda Dr Edouard Ngirente yagize Uwambajemariya Florence wari Umuyobozi w’ akarere ka Burera , Umunyamabanga Nshingwabikorwa w’ Intara y’ Iburengerazuba.
1624	Perezida Kagame kuri uyu wa Mbere yashyizeho abayobozi mu nzego zitandukanye z’igihugu, aho Gen Patrick Nyamvumba wari Umugaba Mukuru w’Ingabo kuva mu 2013 yagizwe Minisitiri w’Umutekano mu gihugu.
1625	Ubu butumwa yabutangiye mu muhango wo gusoza itorero ry’ abafite ubumuga wabereye muri Kaminuza y’ u Rwanda kuri uyu wa 1 Ugushyingo 2019.
1626	Uwihanganye Jean de Dieu uherutse kugirirwa ikizere na Perezida w’ u Rwanda Paul Kagame akamugira ambasaderi yashyikirije Perezida wa Singapore impapuro zimwemerera u Rwanda muri iki gihugu.
1627	Depite Mukabunani Christine avuga ko iyo hari umukandida wongerewe amanota haba habayemo ruswa nyamara ngo ntabwo abariye iyo ruswa bahanwa ahubwo ngo barihanangirizwa.
1628	Abasenateri baherutse kurahirira imbere ya Perezida Kagame kuri uyu wa 30 Ukwakira 2019 batangiye imirimo yabo babanza kwitoramo abayobozi b’ amakomisiyo.
1629	Minisiteri y’ Ubutegetsi bw’ Igihugu MINALOC yavuze ko ibyangombwa byatumwe umuturage witwa Ndayambaje ntaho biteganywa n’ itegeko.
1630	Iyi nama ifite intego yo guteza imbere ishoramari ry’ Uburusiya muri Afurika.
1631	Abasenateri Perezida w’ u Rwanda Paul Kagame yashyizeho nibo bagenzi babo bagiriye ikizere babatorerwa kuyobora Sena y’ u Rwanda mu myaka itanu iri imbere.
1632	Bamwe mu bakobwa biga mu karere ka Gisagara bavuga ko batagisiba ishuri mu gihe cy’ imihango kuko biga ku ishuri ririho icyumba cy’ umukobwa.
1633	Umuyobozi w’ Akarere ka Gisagara Rutaburingoga Jerome yasabye abagabo gufata neza abagore babo, bagafatanya kandi bakajya inama ababwira ko aribyo bizatuma batera imbere n’ igihugu kigatera imbere.
1634	Muhizi yasimbuye Dr Muvunyi Emmanuel wari umaze imyaka ibiri n’ amezi 5 agizwe umuyobozi wa HEC kuko yagiye kuri uyu mwanya muri Mata 2017.
1635	Perezida w’ u Rwanda Paul Kagame yashimiye Minisitiri w’ Intebe wa Ethiopia Abiy Ahmed wahawe igihembo cy’ Amahoro avuga ko umuhate we ari isomo ku Banyafurika benshi.
1636	Guverinoma y’ u Rwanda yatangaje ko igiye kurekura abagororwa 2 503 barimo 52 bafungiye icyaha cyo kwihekura bahawe imbabazi na Perezida wa Repubulika y’ u Rwanda Paul Kagame.
1637	Yabikomojeho ubwo yaganiraga n’ urubyiruko 10 000 ruteraniye I Kigali mu ishuriro ngarukamwaka ry’ urubyiruko rizwi nka Youth Connekt Africa’.
1638	Schoof yatawe muri yombi mu gitondo cyo kuri uyu wa Mbere tariki 7 Ukwakira 2019 afatiwe hafi ya Sitade Amahoro I Remera aho yari agiye gukorera ikiganiro n’ abanyamakuru.
1639	Muri iki kiganiro cyari kitabiriwe n’abashoramari bo muri Africa n’abo mu mahanga yandi, Perezida Kagame yavuze ko abona Afurika iri gutera imbere nubwo yakabaye yarabikoze mbere.
1640	Perezida w’ u Rwanda Paul Kagame kuri uyu wa 4 Ugushyingo 2019 yakoze impinduka mu buyobozi bukuru bw’ igihugu ashyiraho Minisiteri ebyiri nshya.
1641	Umunyamabanga wa Leta muri Minisiteri y’ Uburezi ushinzwe amashuri abanza n’ ayisumbuye Dr Isaac Munyakazi yatangije ibizami bya Leta bisoza amashuri abanza 2019 yifuriza amahirwe masa abanyeshuri bose babyitabiriye.
1642	Abakozi 6 b’ akarere ka Ngoma mu Ntara y’ Iburasirazuba barimo abayobozi bane bakora ku karere banditse basaba guhagarika akazi bavuga ko babitewe n’ impamvu zabo bwite.
1643	Muri rusange mu nkingi 8 zisanzwe zisuzumwa, inyinshi zasubiye inyuma ugereranyije na raporo y’umwaka ushize.
1644	Umuyobozi w’ akarere ka Nyaruguru Habitegeko Francois yasezeranyije imiryango 120 ayisaba kutazabyara abana badashoboye kurera kuko ngo imiryango yose yasezeranyije ibayeho neza.
1645	Urwego rw’ Igihugu rw’ Ubugenzacyaha RIB kuri uyu wa Mbere tariki 28 Ukwakira 2019 rwemeje amakuru avuga ko Robert Bayigamba afunze.
1646	Perezida w’ u Rwanda Paul Kagame wizihije isabukuru y’ imyaka 62 avutse yashimiye byimazeyo abana be n’ umugore we Jeannette Kagame avuga ko aribo batuma abasha kuzuza inshingano ze.
1647	Leta y’ u Rwanda yatangaje ko itariki ya 13 Ugushyingo 2019 yatangajwe ko aribwo ibiganiro bya kabiri ku ishyirwamubikorwa ry’ amasezerano ya Luanda bizabera muri Uganda ntacyo iyiziho.
1648	Ni mu muhango wabereye mu ngoro y’ inteko ishinga amategeko ku Kimihurura kuri uyu wa 17 Ukwakira 2019.
1649	Umuyobozi w’ Akarere ka Nyamagabe Uwamahoro Bonaventure yasabye abarezi kwamagana abasambanya abanyeshuri agaragaza ko ari uguteguha ababyeyi baba babagiriye ikizere bakabaha umwana ngo bamurere.
1650	Minisiteri y’ ubutegetsi bw’ igihugu yasabye abayobozi b’ inzego z’ ibanze n’ abandi bantu bategura ibikorwa by’ inama cyangwa ubukangurambaga mu masaha ya mu gitondo kubihagarika.
1651	Yabitangaje mu karere ka Nyanza kuri uyu wa 11 Ukwakira 2019, umunsi Padiri Fraipont yari kuba yujuje imyaka 100 iyo aza kuba akiriho.
1652	U Rwanda rwakiriye icyiciro cya kabiri cy’impunzi zaturutse muri Libya, aho kuri iyi nshuro rwakiriye 123, bageze mu Rwanda basanga abandi 66 bahageze mu kwezi gushize.
1653	None ku wa Kane, tariki ya 10 Ukwakira 2019, Inama y’Abaminisitiri idasanzwe yateraniye muri Village Urugwiro, iyobowe na Nyakubahwa Perezida wa Repubulika, Paul KAGAME.
1654	Perezida Kagame na Perezida Nkurunziza baheruka guhura mu myaka ine ishize.
1655	Perezida w’ u Rwanda Paul Kagame yavuze ko abarwanya u Rwanda bagihanyanyaza gusa kuko ngo nabo barabizi ko ibyo batashoboye mu myaka yashize batazabigeraho ubu kuko u Rwanda rwiyubatse.
1656	Ngendahimana yabikomojeho mu kiganiro gisesengura umusaruro wa Rwanda Day cyatambutse kuri Radio Rwanda kuri uyu wa 5 Ukwakira 2019.
1657	Iyi ngoro iri kubakwa ku Rwesero biteganyijwe ko izaba yarangiye bitarenze Kamena 2020.
1658	Uwamurera Salama wo mu ishyaka PDI wangiwe kuba umusenateri kuko adafite ubunararibonye avuga ko yabyakiriye neza.
1659	Impirimbanyi y’ umuco nyarwanda Muganga Rutangarwamaboko avuga ko mu muco nyarwanda harimo igisubizo kuko ngo mbere abanyarwanda bari bafite itegeko mu mutima none riri hanze yabo.
1660	Amatora yo gusimbuza abayobozi b’ uturere baherutse kwegura yabaye ku Gatanu tariki 27 Nzeri 2019, abatowe barimo ijanisha ry’ igitsina gore rihagije.
1661	Izi mpunzi zirimo abahunze ibihugu byabo bashaka kujya I Burayi.
1662	Muri iyi minsi bamwe mu bakoresha imbuga nkoranyambaga bashyira imbere gushaka ababakurikira bigatuma bashyira ubuzima bwabo mu kaga.
1663	Perezida w’ u Rwanda Paul Kagame na Perezida wa Repubulika ya Demukarasi ya Congo Felix Antoine Tshisekedi bagiranye ibiganiro.
1664	Tariki 20 Nzeri 2019 nibwo Flash FMTV yatangaje ko abaturage b’ umurenge wa Munyiginya basaba ko inkoni zikubitwa umuturage utishyuye mituelle de sant zavanwaho bakajya bahanishwa ikindi gihano.
1665	Ni intego ya Kane mu ntego z’iterambere rirambye ivuga ku kugeza uburezi bwiza kuri bose.
1666	Hari abasenateri bashyirwaho nyuma y’umwaka manda nshya itangiye, bigafasha ko mu mikorere ya Sena hatabaho icyuho, by’umwihariko mu nshingano yo kugenzura ishyirwa mu bikorwa ry’amahame remezo no kwemeza abayobozi.
1667	Imitwe ya Politiki yemewe ikorera mu Rwanda yemeje ko Uwamurera Salama na Nkusi Juvenal bayihagararira mu nteko ishinga amategeko, umutwe wa Sena.
1668	Abarezi n’ abayobozi mu mashuri makuru na Kaminuza byigenga batoreye Prof Kanyarukiga Ephrem kuba umwe mu basenateri bashya bazinjira muri sena amategeko baturutse muri za Kaminuza n’ amashuri makuru.
1669	PAC yavuze ko iki kigo gisanzwe gitubura imbuto aha cyatubuye amafaranga mu buryo budafitiwe ibisobanuro kuko atari ikigo cy’ ubucuruzi.
1670	Muri iyi nama yabereye I Kigali guverinoma y’ u Rwanda yari ihagarariwe n’ Umunyamabanga wa Leta muri Minisiteri y’ ububanyi n’ amahanga ushinzwe Afurika y’ Iburasirazuba Amb.
1671	Intumwa z’u Rwanda n’iz’igihugu cya Uganda zitabiriye ibiganiro bya mbere ku ishyirwa mu bikorwa ry’amasezerano ya Luanda agamije kuzahura umubano hagati y’ibihugu byombi.
1672	Abaperezida n’ abanyacyubahiro batandukanye batangiye kugera I Harare muri Zimbabwe mu muhango wo kunamira Robert Mugabe wahoze ari Perezida w’ iki gihugu uherutse gupfa.
1673	Ihuriro ry’ imitwe ya politiki yemewe mu Rwanda kuri uyu wa Kane tariki 3 Ukwakira 2019 ryatoreye Murangwa Ndangiza Hadidja kuba umusenateri.
1674	Iyi mpanuka yabereye mu Mudugudu wa Gikarani, Akagari ka Nengo mu Murenge wa Gisenyi.
1675	Urukiko rw’ikirenga rwanze umwe mu bakandida Senateri wari watanzwe n’ihuriro ry’imitwe ya Politike Uwamurera Salama wa PDI , Urukiko rw’ikirenga rwemeye Nkusi Juvenal uturuka mu ishyaka rya PSD.
1676	Rwanda Day yari iteganyijwe kubera mu Budage igasubikwa, nyuma ikimurirwa ku wa Gatandatu tariki 5 Ukwakira 2019 isigaje iminsi 6.
1677	Kugeza ubu hari ibimenyetso by’ umurage w’ u Rwanda bikibitswe n’ igihugu cyakoronije u Rwanda imyaka 40 aricyo u Bubiligi.
1678	Yabitangaje kuri uyu wa Gatatu tariki 25 Nzeri 2019, ubwo yari mu bukangurambaga bwo gushishikariza abaturage gutanga mituelle de sant.
1679	Minisiteri y’ ibikorwaremezo ifite ikizere ko intego u Rwanda rwihaye yo kuba bitarenze 2024 buri muturage azaba afite amazi meza izagerwaho.
1680	Dr Ngirente yasuye ikigo cy’ ubushakashatsi ku mbuto zo guhinga cya Rwerere agisaba kujya gitanga imbuto zo guhinga ku gihe.
1681	Urwego rw’ Igihugu rw’ Ubugenzacyaha RIB rwatangaje ko rwataye muri yombi abantu umunani8 bakekwaho gukoresha nabi kunyereza umutungo wa Leta barimo n’ uwari umuyobozi mukuru wa WDA.
1682	Perezida w’ u Rwanda Paul Kagame yashyizeho abasenateri bane bashya.
1683	Izi mpunzi 75 ni ikiciro cya mbere kizaba kigeze mu Rwanda rwemeye kwakira izigera kuri 500.
1684	Olivier Nduhungirehe yavuze ko nta ngabo z’ u Rwanda ziri muri Kongo.
1685	Muri iyi mihango yo gusaba no gukwa hagaragayemo udushya dutandukanye.
1686	Mu ntara y’ amagepfo hatowe UMUHIRE Adrie ari we urushije abandi akurikirwa na NKURUNZIZA Innocent na UWERA Pelagie.
1687	Mu gitondo cyo kuri uyu wa Mbere tariki 16 Nzeri 2019 mu turere 30 tw’ u Rwanda hatangiye amatora y’ abagize inteko ishinga amategeko umutwe wa Sena.
1688	Ku kibazo by’ ihohoterwa bimaze iminsi bivugwa yavuze ko nta Munyarwanda ukwiye kubyihanganira kuko atari indangagaciro za Kinyarwanda.
1689	Abayobozi 9 bo mu nzego zitandukanye z’ akarere ka Nyamagabe birukaniwe rimwe nyuma y’ iminsi mike basuwe na Minisitiri w’ Ubutegetsi bw’ igihugu Prof Shyaka Anastase.
1690	Avuga ko nta mafaranga u Rwanda rwahawe ngo rubone kwemera kwakira izi mpunzi.
1691	Ambasaderi Frank Mugambage yavuze ko uwarashwe ari Umunya-Ugandakazi yongeraho ko abavuze ko uwarashwe ari Umunyarwandakazi ari ibinyamakuru bya Uganda byashaka gusiga u Rwanda isura mbi.
1692	Twagirayezu Emmanuel kuri uyu wa Kane tariki 5 Nzeri 2019 yatorewe kuyobora Akarere ka Karongi by’agateganyo.
1693	Inkubiri yo kwegura kw’ abayobozi b’ uturere n’ ababungirije yakuruye ikiganiro kiganjemo impaka nyuma y’ uko Minisitiri w’ ubutegetsi bw’ igihugu Prof Shyaka Anastase avuze ko nta gikuba cyacitse.
1694	Umuyobozi w’ Akarere ka Muhanga Uwamariya Beatrice yandikiye Njyanama y’ Akarere asaba kwegura kuri uyu mwanya gusa ntabwo njyanama iramusubiza.
1695	Abari abayobozi bungirije b’ akarere ka Ngororero bombi ndetse n’ uwari Umunyamabanga Nshingwabikorwa w’ Akarere beguye.
1696	Abayobozi bose b’ akarere ka Huye biyemeje ko ibibazo byose bibangamiye imibereho myiza abaturage bigomba kuba byamaze gukemurwa bitarenze tariki 31 Ukuboza 2019.
1697	The Eastafrican yatangaje ko umwe mu bategetsi bo hejuru, yacyemereye ko inama y’abayobozi bo ku rwego rwo hejuru izaba mu byumweru bike biri imbere.
1698	Abaziyamamaza barasabwa kuzirinda gusebya bagenzi babo cyangwa kubiba amacakubiri, ahubwo bakagaragaza imigabo n’imigambi yabo igamije kugeza u Rwanda ku byiza.
1699	Mu butumwa Perezida Museveni yashyize kuri Twitter nyuma yo gusinya aya masezerano yavuze ibyo aya masezerano azakemura.
1700	Kagame yageze I Luanda avuye muri Namibia mu ruzinduko rw’ akazi rw’ iminsi itatu yatangiye ku wa Mbere tariki 19 Kanama 2019.
1701	Leta ya Angola yateguye amasezerano agamije kumvikanisha u Rwanda na Uganda, biteganyijwe ko ayo masezerano azaganirwaho ku wa Kane w’ iki cyumweru.
1702	Prudence Rubingisa wahoze ari Umuyobozi muri Kaminuza y’ u Rwanda niwe watorewe kuba Umuyobozi w’ umujyi wa Kigali mu matora yabaye kuri uyu wa Gatandatu tariki 17 Kanama 2019.
1703	Umunyamabanga wa Leta muri Minisiteri y’ Ububanyi n’ amahanga Amb.
1704	Iyi nkuru icumbuye yatangajwe kuri uyu wa Kabili tariki 13 Kanama 2019.
1705	Minisiteri w’ Ububanyi n’ amahanga y’ u Rwanda yatangaje ko Rwanda Day yariteganyijwe kuba tariki 24 Kanama 2019 yasubitswe kubera impamvu zitunguranye.
1706	Akarere ka Gasabo kari kamaze imyaka myinshi gakorera mu nzu y’ igorofa iherereye hafi y’ ambasade y’ Abanyamerika mu murenge wa Kacyiru.
1707	Mu myaka 100 ishize, Umuryango wa Benebikira waranzwe n’ibikorwa bitandukanye ahanini birimo guteza imbere uburezi by’umwihariko ubw’abana b’abakobwa, kwita ku buzima n’imibereho y’abaturage mu Gihugu cyose.
1708	Yabivugiye mu muhango wo kwita izina abana 25 b’ ingagi wabereye mu karere ka Musanze mu majyaruguru y’ u Rwanda kuri uyu wa 6 Nzeri 2019.
1709	Ubu akarere kagiye kuyoborwa by’agateganyo na Josue Ntaganira Visi Meya ushinzwe ubukungu.
1710	Abayobozi bungirije b’ Akarere ka Rubavu kuri uyu wa Kabili baraye bandikiye Inama Njyanama y’ Akarere basaba kwegura kuri iyi myanya y’ ubuyobozi.
1711	Bamwe muri bo ni abicanyi binjira mu mabanga y’abandi, abanyabwenge buringaniye, batagira imitekerereze.
1712	Icyemezo cyo kweguza aba bayobozi cyafatiwe mu nama idasanzwe yagaragaje imikorere idahwitse y’abagize komite nyobozi y’aka karere.
1713	Kumara igihe kirenga ukwezi atagaragara mu ruhame byatumye abantu batandukanye bibaza byinshi ku hantu uyu munyapolitiki wigeze kuba Umunyamabanga Mukuru wa EAC aherereye.
1714	Umunyamabanga wa Leta muri Minisiteri y’ Ububanyi n’ amahanga mu Rwanda amb.
1715	Olivier Nduhungirehe yavuze ko u Rwanda rutarahindura icyemezo cyo kugira Abanyarwanda inama yo kutajya muri Uganda nubwo ibihugu byombi byasinyanye amasezerano yo guhagarika ibibazo ibi bihugu bifitanye.
1716	Perezida w’ u Rwanda Paul Kagame na Perezida wa Uganda Yoweli Kaguta Museveni bashyize umukono ku masezerano agamije gukemura ibibazo biri hagati y’ u Rwanda na Uganda.
1717	Perezida Kagame yavuze ko kuba abayobozi b’ u Rwanda baharanira ko u Rwanda rutera imbere batabikorera gushimwa n’ umuntu uwo ariwe wese bityo ko u Rwanda rudashobora guhimba imibare.
1718	Perezida w’ u Rwanda Paul Kagame ategerejwe mu gihugu cya Namibia aho atangira uruzinduko rw’ akazi rw’ iminsi ibiri kuri uyu wa mbere tariki 19 Kanama 2019.
1719	Itangazo ryaturutse mu biro bya Minisitiri y’ Intebe rivuga ko abo bajyanama ari Dr.
1720	Yabitangaje kuri uyu wa Gatatu tariki 14 Kanama 2019 ubwo yaganiraga n’ urubyiruko ibihumbi 3 muri gahunda yiswe MeetThePresident.
1721	Ikigo cy’ Igihugu cy’ Ibururishamibare mu Rwanda NISR cyamaganye inkuru ya Financial Times ivuga ko u Rwanda rwahimbye imibare rukagaragaza ko abakene bagabanutse kandi bariyongereye.
1722	Ikigo cy’ Igihugu cy’ Imisoro n’ amahoro Rwanda Revenue Authority cyasabye imbabazi umuturage witwa Nsabimana Dominique waciwe amafaranga y’ uko atazi gusoma.
1723	Perezida w’ u Rwanda Paul Kagame yafunguye ku mugaragaro sitade y’ imikino y’ intoki Kigali Arena’ avuga ko Abanyarwanda bagomba kuyibyaza umusaruro kuko atari atari umutako.
1724	Yabikomojeho kuri uyu wa Kane tariki 8 Kanama 2019 ubwo yasozaga ku mugaragaro Itorero ry’ Indangamirwa ikiciro cya 12.
1725	Yabivugiye mu karere ka Huye kuri uyu wa 7 Kanama 2019 mu muhango wo guhemba abahize abandi guhanga udushya dukemura ibibazo u Rwanda rufite.
1726	Perezida Kagame yashimiye Perezida Filippe Nyusi n’ abayobozi ba RENAMO kuba bageze ku musaruro w’ ibiganiro byabo.
1727	Minisitiri w’ Intebe w’ u Rwanda Dr Edouard Ngirente yavuze ko Ubuhinde ari kimwe mu bihugu byageze ku iterambere kubera gukoresha ikoranabuhanga.
1728	Aba bana basobanura ko nyirarume Musaza wa nyina yatuje nyina mu myaka y’1989, akabaha inzu babamo ari nayo bose bavukiyemo.
1729	Inama y’ Abamaminisitiri yafashwe ko bitarenze uyu mwaka wa 2019 bimwe mu bigo bya Leta bigomba kuba byamaze kwimukira mu mijyi yunganira Kigali.
1730	Dr Nsanzimana Sabin yasimbuye Dr Conco Jeanine ku buyobozi bw’ Ikigo cy’Igihugu cy’Ubuzima RBC.
1731	Yabitangarije mu karere ka Nyaruguru kuri uyu wa 27 Nyakanga 2019, nyuma yo kwifatanya n’ abaturage b’ aka karere mu muganda rusange.
1732	Minisitiri Kyambadde yagize ati Ntabwo tugomba guheza ubukungu bwacu muri miliyoni zingahe Miliyoni 8.
1733	Ku ruhembe rw’abagombaga kurihagararira mu Nteko hari umuyobozi waryo ari nawe warishinze, Dr Habineza Frank w’imyaka 42 y’amavuko.
1734	Brig Richard Karemire abajijwe icyo abo bantu bakurikiranyweho yavuze ko adashaka kubivugaho mu ryo bweruye.
1735	Perezida w’ u Rwanda Paul Kagame, yagiranye ibiganiro n’Igikomangoma cy’Ubwongereza Charles Philip Arthur George, ku myiteguro y’inama y’ibihugu bigize Commonwealth izabera mu Rwanda.
1736	Yongeraho ko we n’ umuryango we bifatanyije n’ umuryango wa Senateri Bishagara Kagoyire muri ibi bihe bitoroshye anawifuriza gukomera.
1737	Gen Charles KARAMBA yagizwe ambasaderi w’u Rwanda muri Tanzania ariko yari asanzwe ari Umugaba Mukuru w’Ingabo zirwanira mu kirere kuva itariki 28 Ukwakira 2015.
1738	Kuwa 15092009, Urukiko Rwisumbuye rwa Gasabo rwaciye urubanza RC 004209TGIGSBO rutegeka KARAMA RWAMUGEMA kujya atanga indezo za 150.
1739	Perezida Kagame w’ u Rwanda, Felix Tshisekedi wa Kongo na Perezida Museveni wa Uganda batumiwe na Perezida wa Angola Jao Laurenco.
1740	Ubu butumwa Perezida Kagame yabutangiye mu biganiro byateguwe na Pasiteri wo muri Amerika Rick Warren byabereye mu mujyi wa Kigali kuri uyu wa Kabiri tariki 9 Nyakanga 2019.
1741	Perezida w’ u Rwanda Paul Kagame kuri uyu wa Kane tariki 8 Kanama 2019 yitabiriye umuhango wo gusoza ku mugaragaro itorero ry’ Indangamirwa ikiciro cya 12.
1742	Minisitiri w’ Ubuzima Dr Diane Gashumba kuri uyu wa Kabili tariki 6 Kanama 2019 yavuze ko abo banyeshuri bazandikwa mu mashuri yo mu Rwanda.
1743	Perezida w’ u Rwanda Paul Kagame kuri uyu wa Kabili aritabira umuhango wo gusinya amasezerano y’ amahoro n’ ubwiyunge ateganyijwe kubera I Maputo.
1744	Perezida Kagame w’ u Rwanda na Perezida wa Zambia Edgar Lungu bazafungura ku mugaragaro ikigo gishinzwe gukurikirana ishyirwamubikorwa ry’ intego z’ iterambere rirambye.
1745	Ku wa Kabili tariki 30 Nyakanga nibwo Perezida yavuze ko ikibazo cy’ umupaka wa Gatuna kizakemuka burundu.
1746	Ku wa Mbere, tariki ya 29 Nyakanga 2019, Inama y’Abaminisitiri idasanzwe yateraniye muri Village Urugwiro, iyobowe na Nyakubahwa Perezida wa Repubulika, Paul KAGAME.
1747	Minisitiri w’ Ubutabera akaba n’ Intumwa nkuru ya Leta y’ u Rwanda avuga ko abantu bajya ku kwezi nta kintu bafite kihariye akibaza igihe Umunyarwanda azagira ku kwezi.
1748	Perezida Paul Kagame uri I Abuja muri Nigeria yitabiriye ibiganiro bitegurwa n’Umuryango The Tony Elumelu Foundation, ku ngingo yo guhanga imirimo no guteza imbere ba Rwiyemezamirimo.
1749	Hashize imyaka ibiri umubano w’ u Rwanda na Uganda ujemo agatotsi, gusa muri uyu mwaka wa 2019 nibwo iki kibazo cyarushijeho gufata indi ntera.
1750	Perezida Beji Cad Essebsi wari umaze imyaka 5 ku butegetsi yitabye Imana azize uburwayi kuri uyu wa 25 Nyakanga 2019.
1751	Kalisa Innocent aregwa mu rubanza rumwe na Lt Joel Mutabazi, hamwe n’irindi tsinda ry’abandi bantu 8.
1752	Mu zindi ngingo zavuguruwe mu itegeko ngenga rigenga amatora mu Rwanda harimo izijyanye n’imigendekere y’amatora ku bijyanye n’itora ry’Abajyanama b’Umujyi wa Kigali hakurikijwe amavugururwa ateganijwe.
1753	Kuva mu 1980 Leta y’u Rwanda yatanze miliyari 185 zo kurihira abanyeshuri yahaye buruse, harimo asaga miliyari 80 y’inguzanyo bagombaga kwishyura ariko hagaruwe miliyari 22,9.
1754	Jean de Dieu Uwihanganye wari Umunyabamanga wa Leta muri Minisiteri y’ Ibikorwaremezo ashinzwe ubwikorezi, na Marie Chantal Rwakazina wari Meya w’ Umujyi wa Kigali ni bamwe mu bahinduriwe imirimo.
1755	Kuri uyu wa 12 Nyakanga 2019, nibwo I Luanda mu gihugu cy’ Angola habereye inama yibanze ku kibazo cy’ umutekano mu karere.
1756	Iyi nama izaba irimo Perezida Kagame, Museveni wa Uganda, Felix Tshisekedi wa Kongo na Jao Laurenco wa Angola ari nawe wayitumije.
1757	Pasiteri Rick Warren yavuze ko Perezida w’ u Rwanda Paul Kagame ari umuntu w’ inyangamugayo ndetse ko ari umuyobozi yizera.
1758	Ibi biganiro byabereye muri Kigali Convention Center tariki 3 Nyakanga 2019, ni ku wa Gatatu w’ icyumweru gishize.
1759	Yabivuze kuri uyu wa 4 Nyakanga ubwo u Rwanda rwizihizaga ku nshuro ya 25 Umunsi mukuru wo kwibohora.
1760	Perezida wa Republic of Central Africa niwe wabimburiye abandi bakuru b’ ibihugu bategerejwe I Kigali mu birori byo kwizihiza ku nshuro ya 25, Umunsi mukuru wo kwibohora kw’ Abanyarwanda.
1761	Mu barwanyi b’ abanyamahanga harimo na FDLR irwanya ubutegetsi bw’ u Rwanda.
1762	Yabitangaje kuri uyu wa 2 Nyakanga 2019, ubwo yaganiraga n’ abanyamakuru n’ urubyiruko rwa Afurika rukoresha imbuga nkoranyambaga cyane.
1763	Ni umuhango watangijwe n’urugendo rwo kwibuka, unatangirwamo ubutumwa butandukanye.
1764	Yabitangaje kuri uyu wa Gatanu tariki 27 Kamena 2019.
